Solyc02g086870	ftb	farnesyl protein transferase subunit B
Solyc02g086880	fdh	formate dehydrogenase
Solyc02g087070	AY344539	alpha-DOX1
Solyc02g087090	AY344540	alpha-DOX2
Solyc02g087430	5pt4	inositol-1,4,5-triphosphate-5-phosphatase 4
Solyc02g087590	SlMAPKKK19	MAP kinase kinase kinase 19
Solyc02g087660	SlPIN8	SlPIN8
Solyc02g088100	expa5	expansin precursor 5
Solyc02g088340	SlWRKY3	WRKY transcription factor 3
Solyc02g088610	hsp110	LeHSP110/ClpB heat shock protein
Solyc02g089020	SlTCP5	TCP transcription factor 5
Solyc02g089160	d	dwarf
Solyc02g089200	TM29	TM29
Solyc02g089540	CO1	CONSTANS 1
Solyc02g089620	pdh	proline dehydrogenase
Solyc02g089830	SlTCP7	TCP transcription factor 7
Solyc02g090030	X52427	33 kDa oxygen-evolving protein
Solyc02g090090	er1	ethylene responsive proteinase inhibitor 1
Solyc02g090110	AY535423	WAK-like kinase
Solyc02g090430	SlMAPKKK20	MAP kinase kinase kinase 20
Solyc02g090450	Solyc02g090450	Sl Peroxidase
Solyc02g090730	fw22	fruit weight 2.2
Solyc02g090820	SolycHsfB1	SolycHsfB1
Solyc02g090890	zep	zeaxanthin epoxidase
Solyc02g090970	SlMAPKKK21	MAP kinase kinase kinase 21
Solyc02g090980	SlMAPKKK22	MAP kinase kinase kinase 22
Solyc02g090990	SlMAPKKK23	MAP kinase kinase kinase 23
Solyc02g091420	SlNIP4.1	NOD26-like intrinsic protein 4.1
Solyc02g091490	fruc3	fructokinase 3
Solyc02g091590	SYMRK	symbiosis receptor-like kinase (SYMRK)
Solyc02g091920	xth7	xyloglucan endotransglucosylase-hydrolase 7
Solyc02g091970	SlBCAT3	SlBCAT3
Solyc02g091990	acs3	1-aminocyclopropane-1-carboxylate synthase 3
Solyc02g092800	AY196092	metal transporter AY196092
Solyc02g092820	SlGH3_4	IAA-amido synthetase 3-4
Solyc02g092980	cycd3	cyclin D3.1
Solyc02g093050	SlWRKY8	WRKY transcription factor 8
Solyc02g093130	Solyc02g093130	AP2/EREBP transcription factor_1
Solyc02g093150	AP2c	APETALA2c
Solyc02g093270	ccoaomt	caffeoyl-CoA O-methyltransferase
Solyc02g093410	SlMAPKKK24	MAP kinase kinase kinase 24
Solyc02g093580	X55193	Tomato 9612 mRNA
Solyc02g093680	sucdh	succinate dehydrogenase
Solyc02g094120	sulox	sulfite oxidase
Solyc02g094290	SlTCP27	TCP transcription factor 27
Solyc02g094500	stv3	sialyltransferase-like
Solyc03g005560	pt2	inorganic phosphate transporter 2
Solyc03g005870	eif4e	eukaryotic translation initiation factor 4E
Solyc03g005960	lesk1	protein kinase LESK1
Solyc03g005980	SlNIP1.1	NOD26-like intrinsic protein 1.1
Solyc03g006350	SlC3H23	Zinc finger transcription factor 23
Solyc03g006400	SlMAPKKK25	MAP kinase kinase kinase 25
Solyc03g006670	SlCycD6_2	cyclinD6_2
Solyc03g006800	SlTCP21	TCP transcription factor 21
Solyc03g006860	frk1	fructokinase
Solyc03g006880	AF049898	gibberellin 20-oxidase-1
Solyc03g006970	sbt2	serine protease SBT2
Solyc03g007240	spm1	spermine synthase
Solyc03g007360	Solyc03g007360	Nodulin MtN3
Solyc03g007380	SlWRKY52	WRKY transcription factor 52
Solyc03g007460	SlCRF4	Solanum lycopersicum Cytokinin Response Factor 4
Solyc03g007640	SlWRKY68	WRKY transcription factor 68
Solyc03g007670	Sgt1-2	defense signal transduction Sgt1-2
Solyc03g007890	hsp17.6	class 2 small heat shock protein Le-HSP17.6
Solyc03g007960	CrtR-b2	beta-carotene hydroxylase-2
Solyc03g013340	SlNIP2.1	NOD26-like intrinsic protein 2.1
Solyc03g019710	tdr8	LETDR8
Solyc03g019790	agal	alpha-galactosidase
Solyc03g019820	SlTIP3.2	tonoplast intrinsic protein 3.2
Solyc03g019850	SlMAPKK5	MAP kinase kinase 5
Solyc03g019890	tbg7	beta-galactosidase 7
Solyc03g025170	gras10	gras10
Solyc03g025190	AY348872	anthocyanin permease
Solyc03g025360	SlMAPKKK26	MAP kinase kinase kinase 26
Solyc03g025850	rem1	remorin 1
Solyc03g026280	CBF1	C-repeat binding factor 1
Solyc03g026350	SlC3H24	Zinc finger transcription factor 24
Solyc03g031430	uref	urease accessory protein F
Solyc03g031670	cpk1	calcium-dependent protein kinase
Solyc03g031840	expa3	expansin precursor 3
Solyc03g031860	psy1	Phytoene synthase 1
Solyc03g031860	ob5338-DQ335097	ob5338-phytoene synthase
Solyc03g032190	SlCycB2_7	cyclinB2_7
Solyc03g033540	LeCPK2	calcium-dependent protein kinase2
Solyc03g033970	Solyc03g033970	Phenylcoumaran benzylic ether reductase 3
Solyc03g034100	SlOFP6	ovate family protein 6
Solyc03g034220	ss5	Tomato RuBP carboxylase small subunit
Solyc03g043880	SlBCAT4	SlBCAT4
Solyc03g043890	acs8	1-aminocyclopropane-1-carboxylate synthase
Solyc03g044090	Solyc03g044090	Phototropic-responsive NPH3 family protein
Solyc03g044300	AP2a	APETALA2a
Solyc03g044380	EZ2	EZ2
Solyc03g044470	rccr	red chlorophyll catabolite reductase
Solyc03g044790	AY455313	methylesterase AY455313
Solyc03g044890	imp2	myo-inositol monophosphatase 2
Solyc03g045030	SlTCP26	TCP transcription factor 26
Solyc03g045070	AF118858	ammonium transporter AF118858
Solyc03g052980	SlDEAD11	RNA helicase DEAD11
Solyc03g062940	AY186749	peroxisomal targeting signal type 2 receptor
Solyc03g063200	SlC3H25	Zinc finger transcription factor 25
Solyc03g063220	SlDEAH8	RNA helicase DEAH-box8
Solyc03g063680	SlC3H26	Zinc finger transcription factor  26
Solyc03g071590	chmdh	chloroplast malate dehydrogenase
Solyc03g078400	act	actin
Solyc03g078500	Solyc03g078500	UDP-glucuronosyltransferase
Solyc03g079850	EF017658	guanylyl cyclase
Solyc03g080090	Solyc03g080090	Nam-like protein 1
Solyc03g082400	hsp21	heat shock protein 21
Solyc03g082500	pk23	serine/threonine protein kinase pk23
Solyc03g082510	SlSAUR35	Small auxin up-regulated RNA35
